,CustomerID,Country,Recency,Frequency,Monetary,Klaster
0,12346.0,United Kingdom,325,2,2.08,1
1,12347.0,Iceland,1,182,481.21,4
2,12348.0,Finland,74,31,178.71,0
3,12349.0,Italy,18,73,605.1,2
4,12350.0,Norway,309,17,65.3,5
6,12353.0,Bahrain,203,4,24.299999999999997,1
7,12354.0,Spain,231,58,261.22,6
8,12355.0,Bahrain,213,13,54.65,13
9,12356.0,Portugal,22,59,188.87,0
10,12357.0,Switzerland,32,131,438.67,8
11,12358.0,Austria,1,19,157.21,2
13,12360.0,Austria,51,129,457.90999999999997,8
14,12361.0,Belgium,286,10,33.35,1
17,12364.0,Belgium,7,85,162.37,2
19,12367.0,Denmark,3,11,35.2,7
21,12370.0,Cyprus,50,158,399.2,8
22,12371.0,Switzerland,44,63,244.08,8
23,12372.0,Denmark,71,52,156.07,0
24,12373.0,Austria,310,14,64.15,13
25,12374.0,Austria,24,33,139.25,9
26,12375.0,Finland,2,18,119.60000000000001,2
27,12377.0,Switzerland,314,77,209.35,6
28,12378.0,Switzerland,129,219,656.44,14
29,12379.0,Belgium,81,41,116.6,0
30,12380.0,Belgium,21,105,355.63,8
31,12381.0,Norway,4,91,417.04,4
32,12383.0,Belgium,184,100,309.36,6
33,12384.0,Switzerland,28,30,227.27,0
35,12388.0,Australia,15,100,277.77,4
36,12390.0,Belgium,79,32,127.9,0
37,12391.0,Cyprus,21,93,224.76,8
38,12393.0,Australia,71,64,145.9,0
39,12394.0,Belgium,216,21,63.32,5
40,12394.0,Denmark,63,6,27.69,10
41,12395.0,Belgium,15,159,629.59,4
42,12397.0,Belgium,35,126,437.0,8
43,12398.0,Switzerland,45,85,169.38,8
44,12399.0,Belgium,118,59,124.75999999999999,0
45,12401.0,Belgium,302,5,48.4,13
46,12402.0,Belgium,322,11,36.2,1
47,12403.0,Denmark,49,6,53.400000000000006,3
48,12405.0,Finland,148,54,191.39000000000001,6
49,12406.0,Denmark,21,108,305.99,8
50,12407.0,Belgium,49,77,251.59,8
51,12408.0,Belgium,32,113,353.48,8
52,12409.0,Switzerland,78,114,402.04,14
53,12410.0,Switzerland,300,28,176.97,5
54,12412.0,Denmark,74,61,165.54,0
55,12413.0,France,66,40,210.29,0
56,12414.0,Austria,216,18,154.26,5
59,12417.0,Spain,224,23,72.05,5
60,12418.0,Switzerland,112,34,121.19,0
61,12420.0,Cyprus,63,29,136.51,0
62,12421.0,Spain,15,46,204.18,2
63,12422.0,Australia,95,21,51.12,12
64,12422.0,Switzerland,167,18,76.03,5
65,12423.0,Belgium,0,126,365.05,4
66,12424.0,Australia,162,30,83.42,5
67,12425.0,Portugal,77,36,92.32,12
68,12426.0,Germany,194,30,118.09,5
69,12427.0,Germany,11,35,161.17,2
71,12429.0,Austria,227,21,114.33,5
72,12429.0,Denmark,8,76,237.85,2
73,12430.0,Norway,42,11,68.48,3
75,12431.0,Belgium,59,54,183.92,0
78,12434.0,Australia,84,54,198.13,0
79,12435.0,Denmark,79,36,197.25,0
80,12436.0,Norway,99,16,84.28,10
82,12438.0,Norway,13,98,381.7,4
84,12442.0,Spain,2,12,40.08,7
86,12445.0,Spain,21,4,31.95,7
87,12446.0,RSA,57,58,248.1,0
88,12447.0,Belgium,242,26,92.93,5
89,12448.0,Spain,43,22,130.94,9
91,12450.0,Spain,155,8,12.94,1
93,12452.0,Switzerland,16,23,99.67,11
94,12453.0,Austria,133,43,102.91,12
95,12454.0,Spain,52,30,218.46,9
96,12455.0,Cyprus,294,42,108.36,5
97,12455.0,Spain,72,48,177.24,0
98,12456.0,Switzerland,43,129,461.37,8
99,12457.0,Cyprus,65,3,17.85,10
100,12457.0,Switzerland,57,65,334.52,0
101,12458.0,Switzerland,70,38,164.4,0
